municipio,populacao_residente_por_cor_(%)_(1)_branca,populacao_residente_por_cor_(%)_(1)_preta,populacao_residente_por_cor_(%)_(1)_parda,populacao_residente_por_cor_(%)_(1)_amarela,populacao_residente_por_cor_(%)_(1)_indigena
Pesqueira,38.746221573104854,4.426770963464505,51.88123699962893,0.18238353602684543,4.253047467960179
Petrolandia,38.123867786246315,3.9159227917549146,53.638705568382136,0.06959665362420306,4.120471004384451
Petrolina,36.96291979823569,4.378693829517377,57.11606624998908,0.191495373885648,0.42744989958037066
Pocao,50.92503807834938,3.1061993338667895,45.5626644780931,0.045885535159619364,0.31082783844125617
Pombos,44.84597658721213,6.251323003188945,48.556216295325754,0.03127741169837821,0.07366330679166377
Primavera,42.380217096207396,4.842166417022063,52.072206723141775,0.0,0.22092441727394158
Quipapa,31.228838700798285,8.300240905532482,58.66392453238036,0.4547859761372514,0.0
Quixaba,28.44945825172144,0.1877965878964319,71.05191534184783,0.0,0.0
Recife,45.762765124870974,5.356813169865647,47.86437201548288,0.14311537181838058,0.3580145606808482
Riacho das Almas,59.94884745546242,1.9503469439529932,37.43645543940842,0.0,0.0
Ribeirao,34.802580003481104,5.319280049626155,58.78174257638491,0.08597379930061931,0.0
Rio Formoso,23.827765725667927,14.099188767136441,61.39756102072281,0.06643270318885053,0.0
Saire,47.58590757410205,4.046223963401168,44.53611228215086,0.03457098673799283,0.0
Salgadinho,54.81395544070507,7.638459864729725,35.905444758990924,0.13510760400692032,0.7154262786144581
Salgueiro,32.12312313871978,9.900985186263682,56.09216778845175,0.24198771718118334,1.2216694533505643
Saloa,34.90581087201402,1.302726109295693,62.92745223866469,0.0,0.0
Sanharo,50.70446753689575,5.128347483155482,43.877934639062104,0.052005076452555025,0.11150790855713952
Santa Cruz,53.32449251043446,5.586675406492552,38.81907706294709,0.16365469363021484,0.22923796946653704
Santa Cruz da Baixa Verde,30.452018868186027,2.1156268924981845,66.99689954548296,0.0471223398152636,0.0
Santa Cruz do Capibaribe,51.542580593830436,1.438835223656355,46.41255132359895,0.08835416706794941,0.029502296843406075
Santa Filomena,36.18741102129879,13.345075146106153,49.635095644506414,0.0,0.0
Santa Maria da Boa Vista,23.136260938005123,11.466766625339687,63.18521749494253,0.475783640430914,0.38067583249968545
Santa Maria do Cambuca,51.6228455883892,3.6580251270426425,44.012242393073095,0.1385789645669373,0.0
Santa Terezinha,36.820089221250285,2.0760660788026835,59.1433729366363,0.0,0.0
Sao Benedito do Sul,31.14884441548641,8.697931641035689,59.58867167030139,0.0,0.0
Sao Bento do Una,37.775655842503866,4.981020444962674,56.10047930731966,0.04786351646967034,0.05569309138076684
Sao Caitano,44.9161373341913,4.458837390865859,47.80701803980261,0.41877872245616826,1.2464899534932052
Sao Joao,34.7992531702856,6.3761721035048495,58.59880593366292,0.0,0.0
Sao Joaquim do Monte,60.731723947687236,3.643815425137683,35.035418524940596,0.0,0.0
Sao Jose da Coroa Grande,19.356331906645284,3.1178209612254273,76.71708583586731,0.17346010436014628,0.0
Sao Jose do Belmonte,32.676689449199195,3.8425676882867648,63.06628789833576,0.0,0.0
Sao Jose do Egito,53.33065480922565,6.82015677879625,39.24422825756821,0.0,0.057366515644536056
Sao Lourenco da Mata,34.65753492381586,5.380155271859312,58.720413099461176,0.13409264312863986,0.3128263316881151
Sao Vicente Ferrer,41.35304348637598,2.5925676995320615,55.74338444174517,0.0,0.15351682454501508
Serra Talhada,38.357649411437386,5.588520158996406,54.5926983444484,0.13938661989358747,0.009014160522805023
Serrita,32.73157251728935,6.0505341747448895,60.565582242014685,0.04552177605369625,0.0
Sertania,41.64046384250194,4.201861368787509,53.5908579793177,0.0,0.1735234439140749
Sirinhaem,21.409194841696902,10.913954159848267,66.37949017003642,0.11990849975769574,0.10032609825679317
