municipio,populacao_residente_por_grupos_de_idade_(%)_0_a_3_anos,populacao_residente_por_grupos_de_idade_(%)_4_a_6_anos,populacao_residente_por_grupos_de_idade_(%)_7_a_14_anos,populacao_residente_por_grupos_de_idade_(%)_15_a_17_anos,populacao_residente_por_grupos_de_idade_(%)_18_a_24_anos,populacao_residente_por_grupos_de_idade_(%)_25_a_59_anos,populacao_residente_por_grupos_de_idade_(%)_60_a_64_anos,populacao_residente_por_grupos_de_idade_(%)_65_anos_ou_mais
Quipapa,9.17842709073421,7.272242554028022,21.902435012093928,8.143482263000298,12.989683977554161,31.016192441553763,2.909814633431039,6.587722027605087
Quixaba,8.345077334111586,7.74430832505307,21.153502742871417,7.440444942405573,13.507768040869555,33.04157549252883,2.1805062839312623,6.586816838228103
Recife,6.563651083764317,5.200897584255782,14.396017216547511,5.9598389723486385,14.074738177896517,44.429700529747635,2.8515640747552635,6.523592360686494
Riacho das Almas,7.69264427404751,6.749205632878154,17.242900975125437,6.3106195171222375,13.538493894628742,36.26106116479046,3.2333506963578222,8.971723845050047
Ribeirao,8.533968448096267,6.886538740890284,17.30129116240357,7.712017071057521,14.274704637184133,36.00912230784941,3.2669928585573036,6.0153647739617355
Rio Formoso,9.257857271279734,6.653648403358281,20.32428704286586,8.191650616626813,14.939730620496514,33.914467347755014,2.325813686161884,4.3925450114563125
Saire,7.510364111007864,7.133256786525724,16.362313602885393,6.598444538610365,13.351734961237232,37.299435855801,3.707579107890049,8.036871036042658
Salgadinho,6.889840128207815,5.467542199218196,18.193114941130077,8.692719316059355,15.38628334551274,36.139515337504655,3.040088882073345,6.1908958502938285
Salgueiro,8.319307422649018,6.494266032214077,18.453184994648115,6.665273617830493,14.959282818998965,36.68728548979509,2.3431698585753065,6.078229765289423
Saloa,8.109757111793119,6.486220197884437,18.2295203126933,6.917862941255776,12.210017694245941,34.93853164483844,4.5151925121495395,8.592897585139369
Sanharo,9.090830099267777,6.446133787063135,16.316427385093572,7.487214232103899,12.614807305157989,36.95446816587829,2.8694557012692816,8.220663324166413
Santa Cruz,10.094550588967495,6.58478418031264,19.728690798217038,6.579620527169741,13.262353904839475,34.20632102286975,2.3322921719391965,7.211386805685002
Santa Cruz da Baixa Verde,8.116252544239043,5.714681063593593,18.760761915284018,7.21637155835327,14.167653292518049,35.68206528418254,3.1009164880927953,7.241297853736301
Santa Cruz do Capibaribe,8.84812225477291,6.5850805071824166,16.459494704617747,6.949851390652081,16.17201556511951,38.470396964932206,1.7459085515776784,4.769130061145613
Santa Filomena,9.404821533785046,7.133845758557237,20.349487886990435,7.040750868744834,13.198621808745745,33.8671068930342,3.0801162420599613,5.925249008082364
Santa Maria da Boa Vista,10.566648747684916,7.1450005218886945,21.23563360394574,7.273607665952296,14.915805565011178,32.968521428205186,1.8305938597683096,4.064188607543528
Santa Maria do Cambuca,10.008570015393419,5.715620009295072,18.89545389607218,7.310575143343133,12.691128578302738,33.37592640040459,2.7534249697605278,9.249300987428441
Santa Terezinha,8.295726725316344,5.79336353780515,19.595428320168676,7.4557339094222,14.542119957726312,34.04545898006262,2.521034446316795,7.751134123182515
Sao Benedito do Sul,10.016977203140451,6.686599760415139,19.909957445603574,7.269855608279585,14.043497450780373,32.041614965750355,3.182399613764799,6.849097952265969
