municipio,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_feminino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_feminino
Lajedo,80.7458957349202,80.159517729611,81.2430733805766,8.24343446924088,5.34571452374133,10.7003506005261
Limoeiro,71.2163332651206,73.6541854662162,69.3673553774626,14.6074747509809,9.2647065730083,18.6596729176762
Macaparana,65.5050324929062,63.3920198185076,67.3168727771334,9.2886328262741,5.83194491413206,12.252631331869
Machados,88.2045943110344,87.2186830145833,89.0053344502707,4.15404234823385,3.52486849166667,4.66504649569095
Manari,83.227077641034,81.8788564524713,84.4241196154022,6.48110450777168,6.98506331426594,6.03365578804838
Maraial,51.0722326978758,55.86024222908,45.5220911431285,8.26247729885478,8.17809708520392,8.36028874370049
Mirandiba,86.9082915164121,84.3080704594594,89.1686892633259,3.73413941310917,0,6.98026354301115
Moreilandia,90.5800105331612,83.8995361944444,96.2770647917522,3.04475315987296,3.18383408333333,2.9261460779332
Moreno,69.4655115099734,73.4061936897924,66.3800778206708,10.3010908615204,5.15786153142514,14.3280822104178
Nazare da Mata,64.317146613078,71.1600511334862,59.8414341070808,11.8633382418031,7.99738073941871,14.3919303461459
Olinda,60.8118163966653,76.1029183984678,51.3073530350544,14.7239054776169,5.01401890034945,20.7592625897568
Orobo,88.5676555954131,87.1319055613698,89.9113634738943,5.85772844266254,4.57544820416968,7.05780507022936
Oroco,79.2605149733797,77.1829103189839,80.8764297044931,9.04819167258189,8.82483217951695,9.22191572273455
Ouricuri,78.707881055739,81.0381380010003,76.6715806752362,12.2178196946386,8.75011049424966,15.2480853391996
Palmares,63.3368207593698,67.2720344140239,60.0862055450811,13.9818946267388,5.73206899353207,20.796520482393
Palmeirina,79.6079550551039,75.6187775702015,83.3256178423499,9.19217279584463,7.48960517200413,10.7788588537794
Panelas,70.4179012763035,69.0347754352204,71.6790927375625,15.7188158581422,15.648112050454,15.7832865200922
Paranatama,27.4820910068657,27.1440459652833,27.7380752624382,69.6850259743044,67.9847394168761,70.9725661986064
Parnamirim,86.6019908003437,89.2532150855926,84.2004984850405,8.70347489900064,6.96947644152284,10.2741394382286
Passira,82.3281066453162,82.0010865088011,82.6245493070143,14.0396722473126,12.1438204569611,15.7582555642472
Paudalho,63.8895964781001,70.5780590868457,57.4439114798489,13.0864907312207,7.39588796750505,18.570536170471
Paulista,60.9687993904172,75.5505282162395,51.3200819118394,14.6235377077483,6.27121953943249,20.1502594881287
Pedra,83.8167898384342,83.9762554551074,83.6793399972015,6.26646416642685,4.56602359755085,7.73214241791045
Pesqueira,82.3793461852464,84.5998028334283,80.6578555513052,8.25328615253339,4.36656048649137,11.2666130897061
Petrolandia,73.2370585809239,71.9106725524798,74.3756493598639,9.95572696515575,8.13479868973472,11.5188406432586
Petrolina,70.2659512850736,73.6788413113178,67.5395164185408,10.1534507890637,5.96820029622167,13.4968966021759
Pocao,89.2492092044166,85.1369707214429,92.4871034279835,5.59051563648152,4.92050073396382,6.11807195198903
Pombos,79.2558660101111,83.8813842122804,74.6064611276246,5.66391322525853,3.76174958874919,7.57589984218008
Primavera,76.2470134331072,84.0310707253826,67.8531452011195,8.65672160354105,1.00873802557636,16.9038559684881
Quipapa,67.7932460090262,67.9337922095902,67.6726330993912,8.40571068149269,5.33515337473977,11.0407790752485
Quixaba,93.7441276556782,93.9530514026132,93.5581986607825,2.8525835739958,4.51972309909964,1.36893424834158
Recife,60.6886888917323,76.459894713961,51.4612610237028,15.4137021950583,5.73366713640033,21.0773037148527
Riacho das Almas,83.838675401262,81.0853605893736,86.6503655755003,5.872900592473,7.62393379263153,4.08474225242687
Ribeirao,62.9634538155437,74.727363015602,52.094397470053,11.0196483029138,6.78362416976203,14.9334480612337
Rio Formoso,67.5045587782797,80.8833921833523,54.6299231489183,16.3185895467045,4.15317627563211,28.0255342707691
Saire,82.1859385105331,81.4757646416436,82.8590073048427,10.816870560789,10.077369587428,11.5177341807206
Salgadinho,84.9323284531151,83.0771472674804,86.8388838869638,6.95450713311355,3.55267084110463,10.4505481224338
Salgueiro,79.1819679010569,85.6827931718225,74.1778689049746,8.19373655862278,4.30617870980823,11.1862372824845
Saloa,93.9549930843618,91.1611977469516,96.0738501727868,2.2327773533413,0,3.92614982721323
Sanharo,85.1138445093935,86.5037732536771,83.9830064991151,6.57520639837577,6.61341588962227,6.54411937666142
Santa Cruz,71.6568554802637,76.6602612480469,67.1066889561793,22.0593689188646,18.2159862890625,25.5545943299191
Santa Cruz da Baixa Verde,80.8687844675929,82.0895444551015,79.7827156007663,10.7135902701323,9.48719089051563,11.8046763133564
