municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_feminino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_feminino"
Custodia,23.0486781368023,18.6375935062868,31.5789473684211,50.2727654217373,53.4935540346968,44.0443213296399
Dormentes,10.3037939241215,8.54857142857143,13.0780346820809,42.6291474170517,58.2857142857143,17.8829479768786
Escada,55.0292862824499,58.619220115065,47.4454197614225,42.071010195965,39.1007884082676,48.3457123565159
Exu,13.778025862871,8.06601890057234,27.0395550061805,49.2324867429528,54.9713829362438,35.9085290482077
Feira Nova,13.9176663031625,13.1672597864769,15.1056338028169,63.263358778626,68.5053380782918,54.9647887323944
Fernando de Noronha,53.5528596187175,51.188589540412,56.4053537284895,42.2876949740035,45.9587955625991,37.8585086042065
Ferreiros,42.0046158918563,43.5436893203884,38.7461459403905,40.6528189910979,40,42.0349434737924
Flores,11.3903270614977,8.86265692336519,16.6150271107668,47.064023235257,55.3869214914746,29.8605731990705
Floresta,24.4197654105316,15.1707704527403,40.0604432505037,49.80034938857,53.3161239078634,43.8549361987911
Frei Miguelinho,16.1313868613139,11.821922933034,24.1475295755045,42.8223844282238,48.2229704451927,32.776617954071
Gameleira,47.0978441127695,46.9857697283312,47.3751600512164,48.0375898286346,47.503234152652,49.359795134443
