municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_ate_14_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_15_a_29_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_30_a_39_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_40_a_44_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_45_a_48_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_49_horas_ou_mais",codigo
Machados,3501.0,231.0,635.0,670.0,1170.0,254.0,541.0,2609105.0
Manari,6540.0,322.0,1937.0,1457.0,1925.0,286.0,613.0,2609154.0
Maraial,3240.0,76.0,314.0,439.0,791.0,425.0,1195.0,2609204.0
Mirandiba,4355.0,199.0,853.0,781.0,1224.0,704.0,594.0,2609303.0
Moreilandia,3711.0,125.0,1069.0,754.0,961.0,409.0,392.0,2614303.0
Moreno,12714.0,340.0,1442.0,1485.0,2750.0,2270.0,4428.0,2609402.0
Nazare da Mata,7426.0,261.0,765.0,1081.0,1762.0,1545.0,2012.0,2609501.0
Olinda,123452.0,4374.0,10315.0,15578.0,37601.0,20028.0,35556.0,2609600.0
Orobo,8566.0,763.0,2410.0,1307.0,2348.0,505.0,1233.0,2609709.0
Oroco,4065.0,193.0,819.0,557.0,1315.0,315.0,867.0,2609808.0
Ouricuri,16523.0,671.0,2673.0,2054.0,4486.0,2930.0,3709.0,2609907.0
Palmares,14400.0,785.0,1307.0,1595.0,3387.0,2745.0,4582.0,2610004.0
Palmeirina,3408.0,180.0,834.0,687.0,1013.0,228.0,466.0,2610103.0
Panelas,11126.0,477.0,2515.0,1971.0,3915.0,865.0,1383.0,2610202.0
Paranatama,4625.0,139.0,1950.0,563.0,1325.0,511.0,138.0,2610301.0
Parnamirim,5796.0,244.0,840.0,787.0,1886.0,1192.0,848.0,2610400.0
Passira,10422.0,426.0,2114.0,1658.0,2157.0,1210.0,2857.0,2610509.0
Paudalho,12101.0,656.0,1192.0,1237.0,2273.0,1695.0,5047.0,2610608.0
Paulista,86430.0,2535.0,6274.0,10403.0,27256.0,17224.0,22738.0,2610707.0
Pedra,7628.0,449.0,1677.0,986.0,1233.0,1005.0,2278.0,2610806.0
Pesqueira,21749.0,1077.0,3792.0,2565.0,5090.0,3314.0,5913.0,2610905.0
Petrolandia,9030.0,455.0,1328.0,1238.0,1549.0,1590.0,2871.0,2611002.0
Petrolina,76279.0,2135.0,6105.0,6997.0,26443.0,14550.0,20049.0,2611101.0
Pocao,6346.0,367.0,1659.0,815.0,1775.0,379.0,1350.0,2611200.0
