municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_sem_instrucao_e_menos_de_1_ano,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_1_a_3_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_4_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_5_a_7_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_8_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_9_e_10_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_11_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_12_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_13_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_14_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_15_anos_ou_mais,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_nao_determinados,codigo
Bodoco,23875.0,6756.0,8086.0,3004.0,3109.0,607.0,630.0,985.0,63.0,34.0,18.0,262.0,321.0,2602001.0
Bom Conselho,32715.0,7881.0,10982.0,4278.0,4068.0,1187.0,1090.0,1876.0,49.0,33.0,75.0,470.0,725.0,2602100.0
Bom Jardim,29635.0,7508.0,9421.0,3695.0,3900.0,1148.0,1346.0,1868.0,34.0,20.0,20.0,205.0,471.0,2602209.0
Bonito,29274.0,8193.0,9718.0,3389.0,3666.0,923.0,922.0,1568.0,93.0,51.0,64.0,234.0,453.0,2602308.0
Brejao,6761.0,1808.0,2275.0,821.0,1081.0,212.0,179.0,217.0,20.0,8.0,6.0,36.0,97.0,2602407.0
Brejinho,5773.0,1456.0,2025.0,782.0,674.0,276.0,141.0,194.0,6.0,13.0,4.0,51.0,150.0,2602506.0
Brejo da Madre de Deus,29010.0,8288.0,9655.0,3826.0,4062.0,838.0,671.0,1226.0,9.0,19.0,0.0,140.0,276.0,2602605.0
Buenos Aires,9641.0,2095.0,2904.0,1315.0,1728.0,461.0,300.0,475.0,6.0,14.0,28.0,76.0,237.0,2602704.0
Buique,33719.0,11140.0,12125.0,3641.0,3434.0,653.0,744.0,819.0,70.0,28.0,33.0,282.0,750.0,2602803.0
Cabo de Santo Agostinho,121971.0,15934.0,27020.0,16724.0,25397.0,9551.0,8091.0,15723.0,472.0,258.0,402.0,1448.0,950.0,2602902.0
